run	p1	base number	fraction	repetition	p2	n1	n2	trial
6	0.55	20	0.6062866266041592	1	1.0	12	20	103
6	0.55	10	0.34822022531844965	2	1.0	3	10	104
6	0.55	10	0.6062866266041592	2	1.0	6	10	105
6	0.55	28	0.2	2	1.0	5	28	106
6	0.55	7	0.2	2	1.0	1	7	107
6	0.55	20	0.2639015821545789	2	1.0	5	20	108
6	0.55	10	0.34822022531844965	1	1.0	3	10	109
6	0.55	28	0.2	1	1.0	5	28	110
6	1.0	7	0.34822022531844965	2	0.55	7	2	111
6	1.0	10	0.2639015821545789	1	0.55	10	2	112
6	1.0	10	0.459479341998814	2	0.55	10	4	113
6	1.0	14	0.459479341998814	1	0.55	14	6	114
6	1.0	7	0.2	1	0.55	7	1	115
6	1.0	7	0.2639015821545789	2	0.55	7	1	116
6	1.0	10	0.6062866266041592	1	0.55	10	6	117
6	1.0	28	0.6062866266041592	1	0.55	28	16	118
6	1.0	14	0.2639015821545789	2	0.55	14	3	119
6	1.0	7	0.6062866266041592	1	0.55	7	4	120
