run	p1	base number	fraction	repetition	p2	n1	n2	trial
5	1.0	20	1.7360511130379037	2	0.55	20	34	99
5	1.0	20	2.086491773675054	1	0.55	20	41	100
6	1.0	10	1.0	2	0.55	10	10	101
6	1.0	7	1.0	2	0.55	7	7	102
6	1.0	7	2.5076726652336894	1	0.55	7	17	103
6	1.0	10	1.2018607966120978	1	0.55	10	12	104
6	1.0	7	1.4444693744330663	1	0.55	7	10	105
6	1.0	14	1.0	2	0.55	14	14	106
6	1.0	14	1.2018607966120978	2	0.55	14	16	107
6	1.0	20	2.5076726652336894	2	0.55	20	50	108
6	1.0	28	2.086491773675054	1	0.55	28	58	109
6	1.0	10	2.086491773675054	2	0.55	10	20	110
6	0.55	7	2.5076726652336894	2	1.0	17	7	111
6	0.55	28	1.7360511130379037	2	1.0	48	28	112
6	0.55	7	1.7360511130379037	1	1.0	12	7	113
6	0.55	7	1.4444693744330663	2	1.0	10	7	114
6	0.55	14	1.0	2	1.0	14	14	115
6	0.55	28	2.5076726652336894	2	1.0	70	28	116
6	0.55	14	1.7360511130379037	2	1.0	24	14	117
6	0.55	10	1.2018607966120978	1	1.0	12	10	118
6	0.55	20	2.5076726652336894	1	1.0	50	20	119
6	0.55	14	2.5076726652336894	2	1.0	35	14	120
