run	base number	fraction	repetition	n1	n2	trial
6	14	0.3535533905932738	2	14	4	94
6	7	2.0	3	7	14	95
6	20	0.5946035575013605	3	20	11	96
6	20	0.5	1	20	10	97
6	10	0.42044820762685725	3	10	4	98
6	10	1.4142135623730951	2	10	14	99
6	20	0.42044820762685725	1	20	8	100
6	7	0.7071067811865476	3	7	4	101
6	7	2.8284271247461903	2	7	19	102
6	20	1.4142135623730951	3	20	28	103
6	7	0.8408964152537145	3	7	5	104
6	20	0.42044820762685725	2	20	8	105
6	20	0.5	3	20	10	106
6	10	0.42044820762685725	1	10	4	107
6	20	1.4142135623730951	1	20	28	108
7	5	0.5	2	5	2	109
7	14	0.5	2	14	7	110
7	5	1.4142135623730951	1	5	7	111
7	7	0.8408964152537145	1	7	5	112
7	7	1.189207115002721	1	7	8	113
7	10	0.8408964152537145	1	10	8	114
7	14	2.0	2	14	28	115
7	7	0.5	1	7	3	116
7	7	0.5946035575013605	1	7	4	117
7	10	0.3535533905932738	1	10	3	118
7	5	2.8284271247461903	1	5	14	119
7	7	2.378414230005442	2	7	16	120
7	10	1.681792830507429	3	10	16	121
7	10	0.5946035575013605	3	10	5	122
7	7	2.378414230005442	3	7	16	123
7	7	1.681792830507429	2	7	11	124
7	5	2.378414230005442	2	5	11	125
7	14	0.7071067811865476	2	14	9	126
8	5	1.681792830507429	3	5	8	127
8	10	2.8284271247461903	3	10	28	128
8	20	2.8284271247461903	2	20	56	129
8	10	1.189207115002721	2	10	11	130
8	5	2.378414230005442	3	5	11	131
8	20	0.3535533905932738	2	20	7	132
8	10	1.189207115002721	1	10	11	133
8	14	2.378414230005442	3	14	33	134
8	20	0.8408964152537145	1	20	16	135
8	5	2.8284271247461903	2	5	14	136
8	20	2.378414230005442	3	20	47	137
8	7	2.378414230005442	1	7	16	138
8	14	1.189207115002721	1	14	16	139
8	14	1.189207115002721	3	14	16	140
8	5	1.681792830507429	2	5	8	141
8	20	2.0	1	20	40	142
8	14	0.5	3	14	7	143
8	5	0.8408964152537145	3	5	4	144
9	5	0.7071067811865476	2	5	3	145
9	5	0.5946035575013605	3	5	2	146
9	14	1.189207115002721	2	14	16	147
9	10	0.5946035575013605	2	10	5	148
9	20	2.378414230005442	1	20	47	149
9	10	2.378414230005442	1	10	23	150
9	20	0.5946035575013605	1	20	11	151
9	14	1.681792830507429	2	14	23	152
9	20	1.189207115002721	1	20	23	153
9	7	0.5	3	7	3	154
9	5	2.0	3	5	10	155
9	7	1.4142135623730951	3	7	9	156
9	14	0.3535533905932738	1	14	4	157
9	14	2.0	1	14	28	158
9	5	0.42044820762685725	2	5	2	159
9	10	0.7071067811865476	3	10	7	160
9	20	1.189207115002721	3	20	23	161
9	10	2.378414230005442	3	10	23	162
10	14	0.5	1	14	7	163
10	14	0.5946035575013605	1	14	8	164
10	20	1.189207115002721	2	20	23	165
10	10	1.189207115002721	3	10	11	166
10	14	1.681792830507429	1	14	23	167
10	7	2.0	2	7	14	168
10	20	0.3535533905932738	3	20	7	169
10	5	0.5946035575013605	2	5	2	170
10	14	0.8408964152537145	2	14	11	171
10	7	0.3535533905932738	2	7	2	172
10	20	0.5946035575013605	2	20	11	173
10	14	1.4142135623730951	2	14	19	174
10	7	0.5	2	7	3	175
10	10	0.3535533905932738	2	10	3	176
10	14	1.4142135623730951	3	14	19	177
10	10	2.0	3	10	20	178
10	20	0.5	2	20	10	179
10	5	1.189207115002721	1	5	5	180
