run	base number	fraction	repetition	n1	n2	trial
1	20	0.7071067811865476	2	20	14	1
1	5	2.378414230005442	1	5	11	2
1	10	0.8408964152537145	2	10	8	3
1	7	0.5946035575013605	3	7	4	4
1	5	2.0	2	5	10	5
1	5	0.3535533905932738	1	5	1	6
1	14	0.7071067811865476	3	14	9	7
1	14	2.8284271247461903	1	14	39	8
1	7	2.0	1	7	14	9
1	7	1.189207115002721	2	7	8	10
1	7	0.5946035575013605	2	7	4	11
1	10	1.681792830507429	2	10	16	12
1	10	0.5	1	10	5	13
1	20	2.8284271247461903	3	20	56	14
1	7	1.681792830507429	3	7	11	15
1	20	2.378414230005442	2	20	47	16
1	5	0.7071067811865476	3	5	3	17
1	10	1.681792830507429	1	10	16	18
2	14	0.42044820762685725	2	14	5	19
2	5	0.8408964152537145	1	5	4	20
2	20	1.681792830507429	1	20	33	21
2	5	2.0	1	5	10	22
2	20	0.8408964152537145	3	20	16	23
2	14	0.8408964152537145	3	14	11	24
2	10	0.5	2	10	5	25
2	10	1.4142135623730951	1	10	14	26
2	10	0.8408964152537145	3	10	8	27
2	5	1.189207115002721	2	5	5	28
2	20	2.0	2	20	40	29
2	7	0.42044820762685725	1	7	2	30
2	14	2.378414230005442	2	14	33	31
2	7	0.7071067811865476	1	7	4	32
2	5	0.5	3	5	2	33
2	7	1.4142135623730951	2	7	9	34
2	10	2.378414230005442	2	10	23	35
2	14	2.0	3	14	28	36
3	20	0.42044820762685725	3	20	8	37
3	7	0.3535533905932738	3	7	2	38
3	5	0.3535533905932738	3	5	1	39
3	14	0.7071067811865476	1	14	9	40
3	10	2.0	2	10	20	41
3	5	1.681792830507429	1	5	8	42
3	5	0.7071067811865476	1	5	3	43
3	20	0.7071067811865476	1	20	14	44
3	10	2.8284271247461903	1	10	28	45
3	20	0.7071067811865476	3	20	14	46
3	7	2.8284271247461903	1	7	19	47
3	5	0.5	1	5	2	48
3	20	0.8408964152537145	2	20	16	49
3	7	1.681792830507429	1	7	11	50
3	5	1.4142135623730951	3	5	7	51
3	5	0.3535533905932738	2	5	1	52
3	14	2.8284271247461903	3	14	39	53
3	10	2.0	1	10	20	54
4	10	0.5	3	10	5	55
4	5	0.8408964152537145	2	5	4	56
4	7	0.42044820762685725	3	7	2	57
4	20	0.3535533905932738	1	20	7	58
4	10	0.7071067811865476	2	10	7	59
4	5	1.189207115002721	3	5	5	60
4	7	0.8408964152537145	2	7	5	61
4	14	1.681792830507429	3	14	23	62
4	5	1.4142135623730951	2	5	7	63
4	7	1.4142135623730951	1	7	9	64
4	14	2.378414230005442	1	14	33	65
4	5	0.42044820762685725	3	5	2	66
4	5	0.5946035575013605	1	5	2	67
4	5	2.8284271247461903	3	5	14	68
4	14	0.42044820762685725	1	14	5	69
4	14	0.3535533905932738	3	14	4	70
4	14	1.4142135623730951	1	14	19	71
4	10	0.5946035575013605	1	10	5	72
5	7	0.7071067811865476	2	7	4	73
5	20	1.681792830507429	2	20	33	74
5	7	0.3535533905932738	1	7	2	75
5	7	1.189207115002721	3	7	8	76
5	7	0.42044820762685725	2	7	2	77
5	10	0.3535533905932738	3	10	3	78
5	20	1.4142135623730951	2	20	28	79
5	20	2.0	3	20	40	80
5	14	0.5946035575013605	3	14	8	81
5	10	0.42044820762685725	2	10	4	82
5	14	2.8284271247461903	2	14	39	83
5	14	0.8408964152537145	1	14	11	84
5	20	2.8284271247461903	1	20	56	85
5	20	1.681792830507429	3	20	33	86
5	14	0.5946035575013605	2	14	8	87
5	7	2.8284271247461903	3	7	19	88
5	5	0.42044820762685725	1	5	2	89
5	14	0.42044820762685725	3	14	5	90
6	10	1.4142135623730951	3	10	14	91
6	10	0.7071067811865476	1	10	7	92
6	10	2.8284271247461903	2	10	28	93
