	base number	fraction	repetition	p1	p2	n1	n2	trial
20	10	0.5799546134795289	1	1.0	0.55	10	5	99
6	7	0.3737192818846553	1	1.0	0.55	7	2	100
14	10	0.15518455739153597	1	1.0	0.55	10	1	101
49	28	0.10000000000000002	2	1.0	0.55	28	2	102
13	10	0.10000000000000002	2	1.0	0.55	10	1	103
21	10	0.5799546134795289	2	1.0	0.55	10	5	104
2	7	0.15518455739153597	1	1.0	0.55	7	1	105
22	10	0.9	1	1.0	0.55	10	9	106
36	20	0.10000000000000002	1	1.0	0.55	20	2	107
1	7	0.10000000000000002	2	1.0	0.55	7	0	108
10	7	0.9	1	1.0	0.55	7	6	109
26	14	0.15518455739153597	1	1.0	0.55	14	2	110
12	10	0.10000000000000002	1	1.0	0.55	10	1	111
52	28	0.24082246852806924	1	1.0	0.55	28	6	112
18	10	0.3737192818846553	1	1.0	0.55	10	3	113
41	20	0.24082246852806924	2	1.0	0.55	20	4	114
53	28	0.24082246852806924	2	1.0	0.55	28	6	115
37	20	0.10000000000000002	2	1.0	0.55	20	2	116
57	28	0.5799546134795289	2	1.0	0.55	28	16	117
34	14	0.9	1	1.0	0.55	14	12	118
27	14	0.15518455739153597	2	1.0	0.55	14	2	119
11	7	0.9	2	1.0	0.55	7	6	120
